data
"               INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               EXT. SPACECRAFT IN SPACE
"
"               INT. REBEL BLOCKADE RUNNER
"
"                                     THREEPIO
"
"               EXT. TATOOINE - DESERT WASTELAND - DAY
"
"                                     LUKE
"
"               INT. REBEL BLOCKADE RUNNER - MAIN HALLWAY
"
"               INT. REBEL BLOCKADE RUNNER
"
"               INT. REBEL BLOCKADE RUNNER
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               INT. REBEL BLOCKADE RUNNER - CORRIDOR
"
"                                     IMPERIAL OFFICER
"
"                                     VADER
"
"                                     VADER
"
"                                     REBEL OFFICER
"
"                                     VADER
"
"                                     VADER
"
"               INT. REBEL BLOCKADE RUNNER - SUBHALLWAY
"
"                                     TROOPER
"
"                                     TROOPER
"
"               INT. REBEL BLOCKADE RUNNER - SUBHALLWAY
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               INT. IMPERIAL STARDESTROYER
"
"                                     CHIEF PILOT
"
"                                     CAPTAIN
"
"               INT. LIFEPOD
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY
"
"                                     WOMAN
"
"               INT. POWER STATION - DAY
"
"                                     FIXER
"
"                                     CAMIE
"
"                                     LUKE
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     DEAK
"
"               EXT. TATOOINE - ANCHORHEAD - SETTLEMENT - POWER STATION - 
"
"               DAY
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     LUKE
"
"                                     CAMIE
"
"                                     FIXER
"
"               INT. REBEL BLOCKADE RUNNER - HALLWAY
"
"                                     LEIA
"
"                                     VADER
"
"                                     LEIA
"
"                                     VADER
"
"                                     COMMANDER
"
"                                     VADER
"
"                                     COMMANDER
"
"                                     VADER
"
"                                     SECOND OFFICER
"
"                                     VADER
"
"                                     COMMANDER
"
"               EXT. SPACE
"
"               EXT. TATOOINE - DESERT
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               EXT. TATOOINE - DUNE SEA
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"                                     LUKE
"
"                                     BIGGS
"
"               EXT. TATOOINE - ROCK CANYON - SUNSET
"
"               EXT. TATOOINE - ROCK CANYON - SANDCRAWLER - SUNSET
"
"               INT. SANDCRAWLER - HOLD AREA
"
"               INT. SANDCRAWLER - PRISON AREA
"
"                                     THREEPIO
"
"               EXT. TATOOINE - ROCK CANYON - SANDCRAWLER - SUNSET
"
"               EXT. TATOOINE - DESERT - DAY
"
"                                     FIRST TROOPER
"
"                                     SECOND TROOPER
"
"               EXT. TATOOINE - DUNES
"
"               INT. SANDCRAWLER
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"               EXT. TATOOINE - DESERT - LARS HOMESTEAD - AFTERNOON
"
"                                     BERU
"
"                                     LUKE
"
"                                     OWEN
"
"                                     THREEPIO
"
"                                     OWEN
"
"                                     THREEPIO
"
"                                     OWEN
"
"                                     THREEPIO
"
"                                     OWEN
"
"                                     THREEPIO
"
"                                     OWEN
"
"                                     LUKE
"
"                                     OWEN
"
"                                     LUKE
"
"                                     LUKE
"
"                                     OWEN
"
"                                     LUKE
"
"                                     OWEN
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     OWEN
"
"                                     LUKE
"
"                                     OWEN
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"               INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     LEIA
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LEIA
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LEIA
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
"                                     LUKE
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     AUNT BERU
"
"                                     LUKE
"
"                                     THREEPIO
"
"                                     LUKE
"
